year,classification,female,male,non-binary
1966,Painting,1.0,22.0,0.0
1966,Photograph,3.0,36.0,0.0
1966,Print,7.0,108.0,0.0
1966,Sculpture,2.0,13.0,0.0
1967,All,47.0,606.0,0.0
1967,Architecture,0.0,2.0,0.0
1967,Design,9.0,66.0,0.0
1967,Drawing,11.0,90.0,0.0
1967,Illustrated Book,6.0,76.0,0.0
1967,Multiple,0.0,2.0,0.0
1967,Painting,0.0,52.0,0.0
1967,Photograph,4.0,35.0,0.0
1967,Print,16.0,263.0,0.0
1967,Sculpture,1.0,20.0,0.0
1968,All,44.0,427.0,0.0
1968,Architecture,0.0,3.0,0.0
1968,Design,2.0,100.0,0.0
1968,Drawing,3.0,60.0,0.0
1968,Graphic Design,0.0,1.0,0.0
1968,Illustrated Book,13.0,61.0,0.0
1968,Mies van der Rohe Archive,0.0,1.0,0.0
1968,Multiple,0.0,2.0,0.0
1968,Painting,2.0,14.0,0.0
1968,Photograph,12.0,64.0,0.0
1968,Print,10.0,103.0,0.0
1968,Sculpture,2.0,18.0,0.0
1969,All,41.0,418.0,0.0
1969,Architecture,0.0,3.0,0.0
1969,Design,2.0,28.0,0.0
1969,Drawing,5.0,78.0,0.0
1969,Illustrated Book,4.0,35.0,0.0
1969,Multiple,0.0,1.0,0.0
1969,Painting,3.0,32.0,0.0
1969,Photograph,4.0,40.0,0.0
1969,Print,21.0,177.0,0.0
1969,Sculpture,2.0,24.0,0.0
1970,All,30.0,255.0,0.0
1970,Architecture,0.0,1.0,0.0
1970,Design,4.0,23.0,0.0
1970,Drawing,6.0,40.0,0.0
1970,Illustrated Book,4.0,27.0,0.0
1970,Painting,3.0,23.0,0.0
1970,Photograph,3.0,42.0,0.0
1970,Print,9.0,78.0,0.0
1970,Sculpture,1.0,21.0,0.0
1971,All,18.0,197.0,0.0
1971,Architecture,0.0,2.0,0.0
1971,Drawing,3.0,36.0,0.0
1971,Illustrated Book,0.0,6.0,0.0
1971,Notebook,0.0,1.0,0.0
1971,Painting,3.0,20.0,0.0
1971,Photograph,3.0,46.0,0.0
