Date,Index,Inflation
1924-09-30,17.066666666666666,0.19999999999999998
1924-12-31,17.233333333333334,0.38666666666666666
1925-03-31,17.266666666666666,0.0
1925-06-30,17.333333333333332,0.38666666666666666
1925-09-30,17.7,0.37999999999999995
1925-12-31,17.866666666666664,0.37666666666666665
1926-03-31,17.866666666666664,-0.18666666666666668
1926-06-30,17.8,-0.18666666666666668
1926-09-30,17.466666666666665,-0.37666666666666665
1926-12-31,17.666666666666668,0.37999999999999995
1927-03-31,17.400000000000002,-0.7566666666666665
1927-06-30,17.433333333333334,0.5766666666666667
1927-09-30,17.266666666666666,-0.5666666666666667
1927-12-31,17.333333333333332,0.003333333333333336
1928-03-31,17.166666666666668,-0.38666666666666666
1928-06-30,17.133333333333336,0.0
1928-09-30,17.166666666666668,0.38999999999999996
1928-12-31,17.166666666666668,-0.38666666666666666
1929-03-31,17.066666666666666,-0.19333333333333333
1929-06-30,17.0,0.19666666666666666
1929-09-30,17.3,0.38999999999999996
1929-12-31,17.266666666666666,-0.19333333333333333
1930-03-31,17.0,-0.5833333333333334
1930-06-30,16.900000000000002,-0.19666666666666666
1930-09-30,16.566666666666666,-0.3933333333333333
1930-12-31,16.333333333333332,-1.0133333333333334
1931-03-31,15.733333333333334,-1.0466666666666666
1931-06-30,15.299999999999999,-1.08
1931-09-30,15.066666666666668,-0.22
1931-12-31,14.733333333333334,-0.8966666666666666
1932-03-31,14.133333333333333,-1.3866666666666667
1932-06-30,13.733333333333334,-0.96
1932-09-30,13.5,-0.49333333333333335
1932-12-31,13.200000000000001,-0.7533333333333333
1933-03-31,12.733333333333334,-1.29
1933-06-30,12.633333333333333,0.26333333333333336
1933-09-30,13.166666666666666,1.3033333333333335
1933-12-31,13.199999999999998,0.0
1934-03-31,13.266666666666666,0.25333333333333335
1934-06-30,13.333333333333334,0.25
1934-09-30,13.466666666666667,0.49666666666666665
1934-12-31,13.466666666666667,-0.49333333333333335
1935-03-31,13.666666666666666,0.7433333333333333
1935-06-30,13.766666666666666,0.003333333333333336
1935-09-30,13.699999999999998,0.0
1935-12-31,13.766666666666666,0.24333333333333332
1936-03-31,13.766666666666666,-0.24
1936-06-30,13.733333333333334,0.24333333333333332
1936-09-30,13.966666666666667,0.48
1936-12-31,14.0,0.0
1937-03-31,14.133333333333333,0.47333333333333333
1937-06-30,14.366666666666667,0.4666666666666666
1937-09-30,14.533333333333333,0.45999999999999996
